account_id,account_name,region,plan,monthly_spend_usd,api_calls_last_30d,csm_assigned,signup_date
ACC-1001,Customer 1,NA,Starter,18551.68,128893,Y,2024-12-04
ACC-1002,Customer 2,NA,Enterprise,10576.95,16122,Y,2024-04-17
ACC-1003,Customer 3,NA,Enterprise,5011.0,341226,N,2024-08-19
ACC-1004,Customer 4,APAC,Starter,18982.24,84207,N,2025-05-05
ACC-1005,Customer 5,EMEA,Growth,2600.15,199691,Y,2025-06-20
ACC-1006,Customer 6,APAC,Starter,18256.81,281637,Y,2026-02-18
ACC-1007,Customer 7,APAC,Enterprise,15482.07,452282,N,2024-12-03
ACC-1008,Customer 8,NA,Enterprise,5736.06,152222,Y,2024-02-13
ACC-1009,Customer 9,APAC,Growth,15910.33,191777,Y,2025-06-07
ACC-1010,Customer 10,APAC,Enterprise,23419.53,340257,Y,2024-09-24
ACC-1011,Customer 11,EMEA,Starter,11583.39,142030,Y,2025-01-08
ACC-1012,Customer 12,NA,Growth,10059.06,35201,Y,2025-04-21
ACC-1013,Customer 13,LATAM,Growth,22122.84,337539,N,2024-05-05
ACC-1014,Customer 14,EMEA,Enterprise,14056.13,138252,N,2026-06-08
ACC-1015,Customer 15,EMEA,Enterprise,12363.22,396747,Y,2023-03-21
ACC-1016,Customer 16,EMEA,Enterprise,10582.89,33806,N,2026-10-15
ACC-1017,Customer 17,APAC,Enterprise,21526.45,6519,Y,2025-11-11
ACC-1018,Customer 18,NA,Growth,10897.39,238381,Y,2025-09-25
ACC-1019,Customer 19,EMEA,Enterprise,22820.06,456902,N,2024-03-12
ACC-1020,Customer 20,EMEA,Enterprise,23839.82,484121,Y,2025-08-01
ACC-1021,Customer 21,NA,Growth,21974.11,436532,N,2024-01-08
ACC-1022,Customer 22,NA,Starter,18311.09,428331,Y,2024-03-22
ACC-1023,Customer 23,LATAM,Enterprise,4169.92,277153,N,2024-09-25
ACC-1024,Customer 24,EMEA,Enterprise,7827.32,352657,N,2026-09-15
ACC-1025,Customer 25,NA,Starter,5656.2,177754,Y,2024-10-08
ACC-1026,Customer 26,NA,Starter,17710.63,31366,Y,2023-01-28
ACC-1027,Customer 27,APAC,Starter,12878.2,146502,N,2024-09-05
ACC-1028,Customer 28,LATAM,Starter,19626.25,423860,N,2024-02-04
ACC-1029,Customer 29,LATAM,Growth,10618.29,245355,Y,2023-01-13
ACC-1030,Customer 30,APAC,Starter,6253.98,100224,N,2024-07-06
ACC-1031,Customer 31,APAC,Growth,6282.67,484557,Y,2026-09-04
ACC-1032,Customer 32,NA,Enterprise,24982.1,438819,Y,2023-04-06
ACC-1033,Customer 33,LATAM,Growth,12059.89,453825,N,2023-03-13
ACC-1034,Customer 34,NA,Growth,6666.82,411578,N,2025-07-23
ACC-1035,Customer 35,LATAM,Starter,4787.95,114637,Y,2023-12-11
ACC-1036,Customer 36,NA,Starter,14625.23,264138,Y,2023-09-03
ACC-1037,Customer 37,EMEA,Starter,14896.13,354505,Y,2026-02-19
ACC-1038,Customer 38,EMEA,Enterprise,14883.25,325234,Y,2026-11-19
ACC-1039,Customer 39,APAC,Growth,5146.27,375990,N,2024-05-13
ACC-1040,Customer 40,EMEA,Enterprise,16155.24,240217,N,2023-01-15
ACC-1041,Customer 41,NA,Starter,13463.98,265729,N,2024-06-03
ACC-1042,Customer 42,EMEA,Growth,7160.44,230234,N,2023-11-27
ACC-1043,Customer 43,APAC,Enterprise,2634.48,460891,Y,2025-02-04
ACC-1044,Customer 44,EMEA,Growth,7079.82,110930,N,2024-11-21
ACC-1045,Customer 45,APAC,Enterprise,12238.87,475157,Y,2023-11-14
ACC-1046,Customer 46,APAC,Starter,138.46,404788,Y,2025-03-24
ACC-1047,Customer 47,LATAM,Enterprise,17656.4,294576,Y,2023-02-23
ACC-1048,Customer 48,EMEA,Enterprise,948.9,194075,Y,2026-03-02
ACC-1049,Customer 49,APAC,Growth,22479.59,417897,Y,2025-04-22
ACC-1050,Customer 50,EMEA,Enterprise,2614.7,409505,N,2024-04-28
ACC-1051,Customer 51,EMEA,Starter,22041.33,13495,Y,2025-07-26
ACC-1052,Customer 52,EMEA,Growth,4021.99,368171,Y,2026-01-28
ACC-1053,Customer 53,LATAM,Starter,5029.34,482033,N,2025-05-27
ACC-1054,Customer 54,EMEA,Starter,640.43,101755,N,2025-05-28
ACC-1055,Customer 55,NA,Growth,8811.1,267575,N,2025-01-04
ACC-1056,Customer 56,APAC,Starter,14535.71,139680,Y,2023-10-14
ACC-1057,Customer 57,APAC,Enterprise,19671.38,229296,Y,2026-10-07
ACC-1058,Customer 58,APAC,Starter,17734.19,1386,Y,2025-07-03
ACC-1059,Customer 59,APAC,Enterprise,7882.2,445104,Y,2025-09-10
ACC-1060,Customer 60,LATAM,Growth,10089.89,155508,Y,2024-07-22
ACC-1061,Customer 61,LATAM,Enterprise,18715.96,91740,N,2026-09-27
ACC-1062,Customer 62,NA,Growth,7208.5,225885,N,2026-08-15
ACC-1063,Customer 63,EMEA,Enterprise,11856.0,472978,Y,2023-05-17
ACC-1064,Customer 64,APAC,Starter,20469.67,394312,Y,2025-04-26
ACC-1065,Customer 65,EMEA,Starter,659.41,128868,N,2023-08-14
ACC-1066,Customer 66,EMEA,Enterprise,17424.04,259696,N,2024-03-21
ACC-1067,Customer 67,NA,Starter,19471.59,115235,Y,2026-01-18
ACC-1068,Customer 68,EMEA,Starter,11438.72,420673,N,2025-08-20
ACC-1069,Customer 69,LATAM,Enterprise,11175.54,83944,N,2026-05-25
ACC-1070,Customer 70,EMEA,Enterprise,6968.92,408225,N,2024-05-15
ACC-1071,Customer 71,NA,Enterprise,7178.92,142956,N,2025-09-03
ACC-1072,Customer 72,EMEA,Starter,5819.97,364329,Y,2024-02-14
ACC-1073,Customer 73,LATAM,Growth,13588.15,218485,Y,2024-07-13
ACC-1074,Customer 74,NA,Enterprise,9540.51,3591,N,2025-07-28
ACC-1075,Customer 75,LATAM,Enterprise,18700.52,286830,Y,2026-04-09
ACC-1076,Customer 76,LATAM,Growth,774.17,176728,N,2024-08-05
ACC-1077,Customer 77,NA,Growth,14817.72,348102,Y,2023-11-14
ACC-1078,Customer 78,EMEA,Growth,4584.14,136896,N,2025-04-15
ACC-1079,Customer 79,APAC,Growth,19042.68,199271,N,2026-05-27
ACC-1080,Customer 80,NA,Growth,533.61,283310,Y,2025-04-21
ACC-1081,Customer 81,NA,Enterprise,1054.44,16768,Y,2024-01-20
ACC-1082,Customer 82,EMEA,Starter,3199.21,351489,Y,2024-08-23
ACC-1083,Customer 83,APAC,Growth,4236.34,318872,Y,2024-05-04
ACC-1084,Customer 84,NA,Growth,14416.13,476567,N,2026-12-07
ACC-1085,Customer 85,NA,Enterprise,17280.83,329355,Y,2023-12-25
ACC-1086,Customer 86,APAC,Enterprise,15030.27,63967,Y,2025-09-14
ACC-1087,Customer 87,APAC,Starter,12673.72,179403,Y,2026-08-04
ACC-1088,Customer 88,LATAM,Growth,15907.85,434981,N,2024-07-06
ACC-1089,Customer 89,APAC,Enterprise,20214.57,282657,N,2026-07-27
ACC-1090,Customer 90,APAC,Growth,21300.24,436042,Y,2025-08-08
ACC-1091,Customer 91,LATAM,Enterprise,15277.78,199199,N,2023-08-28
ACC-1092,Customer 92,APAC,Starter,12214.37,186530,N,2025-05-20
ACC-1093,Customer 93,APAC,Enterprise,303.27,497557,Y,2023-04-24
ACC-1094,Customer 94,LATAM,Growth,13901.65,126498,N,2026-08-26
ACC-1095,Customer 95,NA,Starter,7391.18,212522,Y,2025-11-19
ACC-1096,Customer 96,APAC,Growth,13859.15,180727,N,2025-06-23
ACC-1097,Customer 97,LATAM,Growth,7700.24,121368,Y,2024-06-04
ACC-1098,Customer 98,EMEA,Starter,5448.8,254359,N,2025-02-27
ACC-1099,Customer 99,EMEA,Growth,5725.7,94579,N,2023-12-18
ACC-1100,Customer 100,EMEA,Growth,1185.62,29087,N,2024-11-28
ACC-1101,Customer 101,LATAM,Starter,21824.36,301474,N,2026-08-15
ACC-1102,Customer 102,APAC,Starter,24139.17,132871,N,2023-02-13
ACC-1103,Customer 103,LATAM,Starter,14446.68,360398,Y,2024-03-26
ACC-1104,Customer 104,APAC,Starter,24848.26,62602,N,2024-09-13
ACC-1105,Customer 105,LATAM,Growth,7468.96,309056,N,2025-10-20
ACC-1106,Customer 106,NA,Enterprise,24004.71,52526,Y,2024-05-22
ACC-1107,Customer 107,NA,Starter,6034.64,289902,Y,2024-01-14
ACC-1108,Customer 108,LATAM,Enterprise,14865.59,153203,Y,2024-05-23
ACC-1109,Customer 109,APAC,Enterprise,21497.19,37818,Y,2025-11-19
ACC-1110,Customer 110,EMEA,Growth,2913.67,118364,Y,2025-03-03
ACC-1111,Customer 111,NA,Starter,19826.08,312474,N,2026-02-15
ACC-1112,Customer 112,APAC,Enterprise,10092.59,143235,N,2026-02-20
ACC-1113,Customer 113,NA,Growth,18376.62,317019,N,2023-02-08
ACC-1114,Customer 114,NA,Enterprise,20544.46,302619,Y,2024-08-17
ACC-1115,Customer 115,LATAM,Growth,4578.15,307381,N,2026-02-16
ACC-1116,Customer 116,APAC,Growth,8366.04,351842,Y,2024-06-14
ACC-1117,Customer 117,LATAM,Growth,16581.46,210452,Y,2026-02-11
ACC-1118,Customer 118,APAC,Growth,2942.24,405537,N,2023-11-28
ACC-1119,Customer 119,LATAM,Growth,1402.39,272311,N,2026-11-15
ACC-1120,Customer 120,NA,Starter,6713.05,69188,N,2026-12-16
ACC-1121,Customer 121,NA,Starter,24330.01,319724,Y,2024-05-18
ACC-1122,Customer 122,NA,Enterprise,10229.37,118307,Y,2026-02-21
ACC-1123,Customer 123,EMEA,Growth,23319.69,153519,N,2026-08-16
ACC-1124,Customer 124,EMEA,Growth,13804.06,201609,Y,2024-02-09
ACC-1125,Customer 125,LATAM,Growth,23359.5,266700,N,2023-05-24
ACC-1126,Customer 126,APAC,Enterprise,14519.09,346499,N,2024-08-18
ACC-1127,Customer 127,LATAM,Growth,8344.38,400464,N,2026-06-28
ACC-1128,Customer 128,EMEA,Enterprise,6008.2,201287,Y,2026-01-11
ACC-1129,Customer 129,LATAM,Enterprise,22840.08,200374,N,2024-08-02
ACC-1130,Customer 130,EMEA,Enterprise,24135.57,174560,Y,2026-02-17
ACC-1131,Customer 131,LATAM,Starter,18074.97,215446,Y,2023-08-26
ACC-1132,Customer 132,APAC,Growth,15600.32,208895,Y,2025-11-28
ACC-1133,Customer 133,LATAM,Growth,15688.64,465773,N,2023-10-03
ACC-1134,Customer 134,EMEA,Enterprise,17125.77,151169,Y,2023-07-04
ACC-1135,Customer 135,NA,Growth,4200.8,157506,Y,2023-06-26
ACC-1136,Customer 136,NA,Growth,8993.66,226303,Y,2024-09-14
ACC-1137,Customer 137,EMEA,Starter,4417.98,320049,N,2024-08-19
ACC-1138,Customer 138,EMEA,Starter,11555.69,133657,N,2025-11-01
ACC-1139,Customer 139,LATAM,Growth,16956.39,83324,Y,2026-06-19
ACC-1140,Customer 140,APAC,Enterprise,24052.63,362423,N,2026-05-07
ACC-1141,Customer 141,LATAM,Growth,2711.0,200444,N,2025-12-10
ACC-1142,Customer 142,NA,Enterprise,9925.35,4745,Y,2026-05-25
ACC-1143,Customer 143,EMEA,Enterprise,20058.2,115321,Y,2025-11-25
ACC-1144,Customer 144,EMEA,Enterprise,2474.24,329468,Y,2025-08-02
ACC-1145,Customer 145,APAC,Enterprise,3328.72,477406,N,2025-12-14
ACC-1146,Customer 146,EMEA,Starter,3347.39,283305,N,2025-03-09
ACC-1147,Customer 147,LATAM,Growth,18676.66,178084,Y,2026-02-05
ACC-1148,Customer 148,EMEA,Enterprise,18119.21,208858,N,2023-07-01
ACC-1149,Customer 149,APAC,Enterprise,3133.54,193745,N,2026-11-12
ACC-1150,Customer 150,NA,Enterprise,5883.86,13620,N,2024-11-03
ACC-1151,Customer 151,LATAM,Enterprise,7589.64,214564,Y,2024-01-02
ACC-1152,Customer 152,APAC,Growth,2947.21,123602,Y,2026-08-12
ACC-1153,Customer 153,LATAM,Enterprise,18569.61,81514,N,2023-08-20
ACC-1154,Customer 154,LATAM,Growth,866.27,194764,Y,2026-08-08
ACC-1155,Customer 155,APAC,Starter,24524.15,193089,N,2023-07-09
ACC-1156,Customer 156,EMEA,Starter,23727.82,432613,N,2023-11-07
ACC-1157,Customer 157,NA,Starter,19680.53,128200,Y,2024-02-27
ACC-1158,Customer 158,EMEA,Enterprise,5437.99,456470,Y,2025-03-26
ACC-1159,Customer 159,NA,Growth,21467.23,76358,Y,2025-03-04
ACC-1160,Customer 160,NA,Starter,420.77,414679,Y,2025-01-06
ACC-1161,Customer 161,APAC,Starter,3212.63,221204,Y,2023-08-15
ACC-1162,Customer 162,APAC,Enterprise,14861.97,237481,Y,2023-12-26
ACC-1163,Customer 163,APAC,Growth,16101.35,16831,Y,2026-07-14
ACC-1164,Customer 164,NA,Growth,17824.41,233054,Y,2023-06-20
ACC-1165,Customer 165,EMEA,Starter,3198.48,327822,N,2026-10-17
ACC-1166,Customer 166,APAC,Growth,12663.5,226048,Y,2023-11-21
ACC-1167,Customer 167,EMEA,Growth,11316.3,120296,N,2025-08-13
ACC-1168,Customer 168,LATAM,Enterprise,2422.39,224247,N,2025-06-05
ACC-1169,Customer 169,LATAM,Starter,2326.06,45255,Y,2026-02-24
ACC-1170,Customer 170,APAC,Starter,13931.45,307976,N,2023-07-12
ACC-1171,Customer 171,LATAM,Enterprise,1333.58,151300,N,2025-02-19
ACC-1172,Customer 172,EMEA,Starter,16435.57,118068,Y,2025-09-12
ACC-1173,Customer 173,NA,Growth,14373.8,423716,N,2023-10-22
ACC-1174,Customer 174,APAC,Starter,4551.38,368916,N,2025-06-01
ACC-1175,Customer 175,EMEA,Starter,14179.71,210626,Y,2024-12-21
ACC-1176,Customer 176,NA,Starter,18665.49,113291,N,2026-08-11
ACC-1177,Customer 177,EMEA,Growth,7825.35,170570,Y,2023-03-06
ACC-1178,Customer 178,NA,Enterprise,2085.46,232818,N,2026-10-15
ACC-1179,Customer 179,LATAM,Growth,5428.45,269117,Y,2025-07-04
ACC-1180,Customer 180,APAC,Enterprise,16978.23,255635,N,2023-04-13
ACC-1181,Customer 181,NA,Starter,5150.36,496122,Y,2024-05-10
ACC-1182,Customer 182,APAC,Starter,242.86,392150,N,2024-03-13
ACC-1183,Customer 183,EMEA,Enterprise,13990.15,350749,N,2023-07-28
ACC-1184,Customer 184,NA,Growth,517.6,483454,Y,2025-10-14
ACC-1185,Customer 185,LATAM,Enterprise,16021.53,152289,Y,2026-01-11
ACC-1186,Customer 186,EMEA,Enterprise,11529.42,362054,N,2023-07-28
ACC-1187,Customer 187,NA,Starter,10920.13,210451,Y,2026-05-24
ACC-1188,Customer 188,APAC,Starter,8360.06,88649,Y,2023-09-17
ACC-1189,Customer 189,EMEA,Growth,8809.94,429864,Y,2024-02-05
ACC-1190,Customer 190,APAC,Starter,4378.8,80647,Y,2024-11-16
ACC-1191,Customer 191,LATAM,Enterprise,19008.93,235855,N,2025-03-15
ACC-1192,Customer 192,NA,Growth,11083.09,159265,N,2023-06-17
ACC-1193,Customer 193,NA,Growth,11570.48,20217,Y,2025-05-03
ACC-1194,Customer 194,NA,Enterprise,14872.29,202079,N,2023-08-26
ACC-1195,Customer 195,EMEA,Growth,15144.9,263360,Y,2023-08-04
ACC-1196,Customer 196,APAC,Enterprise,2154.01,339256,Y,2023-04-23
ACC-1197,Customer 197,LATAM,Growth,13125.51,320213,Y,2025-06-10
ACC-1198,Customer 198,LATAM,Growth,19372.9,356437,Y,2025-02-11
ACC-1199,Customer 199,NA,Enterprise,16975.56,149474,N,2024-06-03
ACC-1200,Customer 200,EMEA,Growth,7790.28,344461,N,2024-10-23
ACC-1201,Customer 201,NA,Growth,13995.11,337875,N,2024-11-23
ACC-1202,Customer 202,NA,Enterprise,16777.88,267094,N,2023-06-10
ACC-1203,Customer 203,EMEA,Starter,8576.22,402186,N,2024-04-05
ACC-1204,Customer 204,EMEA,Starter,7430.01,413701,Y,2023-11-11
ACC-1205,Customer 205,EMEA,Enterprise,9449.16,85564,Y,2024-12-15
ACC-1206,Customer 206,NA,Growth,9139.27,377770,Y,2026-10-10
ACC-1207,Customer 207,LATAM,Starter,13373.58,162750,N,2024-06-22
ACC-1208,Customer 208,LATAM,Growth,19247.49,408461,N,2026-03-27
ACC-1209,Customer 209,EMEA,Enterprise,3503.04,131573,Y,2026-06-18
ACC-1210,Customer 210,NA,Enterprise,21155.01,446756,Y,2025-02-25
ACC-1211,Customer 211,EMEA,Growth,11260.51,269644,Y,2026-02-08
ACC-1212,Customer 212,LATAM,Growth,23265.27,218025,Y,2026-09-12
ACC-1213,Customer 213,EMEA,Growth,24863.41,197062,Y,2023-06-04
ACC-1214,Customer 214,APAC,Starter,3483.11,150907,N,2024-12-16
ACC-1215,Customer 215,LATAM,Enterprise,181.02,42037,Y,2025-04-27
ACC-1216,Customer 216,EMEA,Enterprise,23508.64,319728,N,2023-05-08
ACC-1217,Customer 217,APAC,Starter,1241.35,220609,N,2023-02-27
ACC-1218,Customer 218,LATAM,Enterprise,13424.54,331826,Y,2024-05-14
ACC-1219,Customer 219,NA,Enterprise,8852.76,299692,N,2024-11-22
ACC-1220,Customer 220,NA,Enterprise,24367.63,35983,Y,2026-08-02
ACC-1221,Customer 221,LATAM,Growth,6378.57,9015,N,2023-06-08
ACC-1222,Customer 222,NA,Enterprise,18392.92,174835,Y,2023-06-18
ACC-1223,Customer 223,APAC,Enterprise,4418.47,408995,N,2026-11-06
ACC-1224,Customer 224,EMEA,Starter,17915.32,495220,N,2023-05-07
ACC-1225,Customer 225,NA,Starter,22150.47,165963,N,2026-09-16
ACC-1226,Customer 226,APAC,Starter,18844.61,100693,N,2025-01-28
ACC-1227,Customer 227,APAC,Growth,3155.65,193448,N,2026-12-15
ACC-1228,Customer 228,LATAM,Growth,24344.4,260653,N,2025-09-09
ACC-1229,Customer 229,NA,Enterprise,10641.27,226262,Y,2025-06-04
ACC-1230,Customer 230,NA,Growth,16539.93,161192,N,2026-03-23
ACC-1231,Customer 231,LATAM,Growth,11205.89,381560,N,2026-05-21
ACC-1232,Customer 232,NA,Starter,16796.04,213471,N,2024-01-05
ACC-1233,Customer 233,LATAM,Starter,3199.44,124229,N,2025-07-19
ACC-1234,Customer 234,NA,Enterprise,3878.28,236389,N,2025-08-25
ACC-1235,Customer 235,NA,Enterprise,3485.49,192887,N,2025-11-09
ACC-1236,Customer 236,EMEA,Starter,696.54,98042,N,2026-09-04
ACC-1237,Customer 237,APAC,Growth,17615.74,112996,N,2026-04-04
ACC-1238,Customer 238,EMEA,Starter,11328.46,471666,N,2023-11-28
ACC-1239,Customer 239,APAC,Enterprise,8718.26,34546,N,2025-03-23
ACC-1240,Customer 240,EMEA,Growth,12743.46,64128,Y,2024-04-26
ACC-1241,Customer 241,LATAM,Starter,9054.37,300538,N,2026-09-05
ACC-1242,Customer 242,NA,Starter,7766.8,376379,N,2026-07-27
ACC-1243,Customer 243,NA,Starter,24310.87,337270,Y,2026-08-22
ACC-1244,Customer 244,APAC,Starter,21955.11,409582,Y,2024-07-17
ACC-1245,Customer 245,NA,Starter,12976.65,159948,Y,2024-06-23
ACC-1246,Customer 246,EMEA,Growth,23689.7,272551,N,2023-05-07
ACC-1247,Customer 247,APAC,Starter,15644.31,322637,Y,2024-10-19
ACC-1248,Customer 248,EMEA,Starter,16485.39,378319,N,2023-01-03
ACC-1249,Customer 249,NA,Enterprise,19287.01,139255,Y,2026-10-21
ACC-1250,Customer 250,NA,Growth,22230.47,286539,N,2025-08-08
ACC-1251,Customer 251,LATAM,Growth,11365.93,361531,Y,2024-08-14
ACC-1252,Customer 252,LATAM,Growth,5140.37,318564,Y,2025-12-11
ACC-1253,Customer 253,APAC,Growth,3312.62,194769,Y,2025-04-15
ACC-1254,Customer 254,NA,Growth,11267.42,74360,Y,2023-05-13
ACC-1255,Customer 255,LATAM,Starter,24069.01,473570,Y,2025-10-24
ACC-1256,Customer 256,APAC,Starter,19089.88,261734,N,2026-05-16
ACC-1257,Customer 257,NA,Starter,23633.56,265498,N,2024-04-19
ACC-1258,Customer 258,APAC,Starter,1310.98,259967,N,2025-09-01
ACC-1259,Customer 259,NA,Growth,3391.68,139159,N,2026-06-02
ACC-1260,Customer 260,LATAM,Starter,14278.53,102555,N,2025-02-13
ACC-1261,Customer 261,LATAM,Enterprise,7029.03,327258,Y,2024-02-13
ACC-1262,Customer 262,APAC,Growth,13967.9,192183,Y,2024-10-17
ACC-1263,Customer 263,LATAM,Enterprise,1054.36,20902,Y,2025-08-17
ACC-1264,Customer 264,LATAM,Starter,15176.2,270773,Y,2025-10-11
ACC-1265,Customer 265,EMEA,Growth,24765.86,388116,N,2025-09-27
ACC-1266,Customer 266,LATAM,Enterprise,14094.96,249480,Y,2025-06-22
ACC-1267,Customer 267,NA,Growth,14613.37,418228,Y,2026-05-21
ACC-1268,Customer 268,EMEA,Enterprise,1331.31,252393,Y,2026-03-27
ACC-1269,Customer 269,EMEA,Starter,14335.63,367774,Y,2024-01-15
ACC-1270,Customer 270,APAC,Growth,3828.21,362521,Y,2026-09-25
ACC-1271,Customer 271,LATAM,Enterprise,18198.68,370529,Y,2024-09-11
ACC-1272,Customer 272,LATAM,Enterprise,9451.78,91297,N,2025-09-12
ACC-1273,Customer 273,APAC,Enterprise,12130.29,129747,N,2025-04-10
ACC-1274,Customer 274,APAC,Enterprise,5221.58,370116,N,2025-08-12
ACC-1275,Customer 275,APAC,Growth,3090.76,355244,N,2026-06-25
ACC-1276,Customer 276,EMEA,Growth,1099.56,374915,Y,2025-08-21
ACC-1277,Customer 277,APAC,Enterprise,12003.03,106441,N,2025-03-04
ACC-1278,Customer 278,EMEA,Starter,1316.6,475077,Y,2024-01-04
ACC-1279,Customer 279,LATAM,Growth,17948.08,53214,Y,2023-09-06
ACC-1280,Customer 280,LATAM,Enterprise,23379.05,461034,N,2026-11-07
ACC-1281,Customer 281,APAC,Growth,7171.11,31518,Y,2024-09-24
